level,x,y,grid_w,grid_h,visits,traces_touching,trace_share,mean_step_frac,pauses,pauses_per_trace,pause_rate,mean_pause_ms,cohort
bonus2,1,7,12,12,328,328,1.0,0.2174,19,0.0579,0.0579,1645.3,top_solver
bonus2,1,11,12,12,330,328,1.0,0.2079,62,0.189,0.1879,41534.0,top_solver
bonus2,2,2,12,12,329,328,1.0,0.1126,48,0.1463,0.1459,2547.7,top_solver
bonus2,2,3,12,12,334,328,1.0,0.1202,55,0.1677,0.1647,4731.3,top_solver
bonus2,2,4,12,12,338,328,1.0,0.2901,72,0.2195,0.213,6203.0,top_solver
bonus2,2,5,12,12,343,328,1.0,0.3137,84,0.2561,0.2449,5146.7,top_solver
bonus2,2,6,12,12,334,328,1.0,0.3581,51,0.1555,0.1527,2721.6,top_solver
bonus2,2,9,12,12,328,328,1.0,0.2473,67,0.2043,0.2043,9137.5,top_solver
bonus2,2,10,12,12,330,328,1.0,0.2393,16,0.0488,0.0485,1691.0,top_solver
bonus2,2,11,12,12,335,328,1.0,0.2157,71,0.2165,0.2119,3757.7,top_solver
bonus2,3,1,12,12,328,328,1.0,0.9851,0,0.0,0.0,0.0,top_solver
bonus2,3,4,12,12,335,328,1.0,0.4052,104,0.3171,0.3104,4744.3,top_solver
bonus2,3,5,12,12,339,328,1.0,0.4063,69,0.2104,0.2035,3301.6,top_solver
bonus2,3,6,12,12,359,328,1.0,0.4081,45,0.1372,0.1253,3273.7,top_solver
bonus2,3,8,12,12,328,328,1.0,0.2865,147,0.4482,0.4482,6773.6,top_solver
bonus2,3,9,12,12,337,328,1.0,0.2552,133,0.4055,0.3947,6462.7,top_solver
bonus2,3,10,12,12,332,328,1.0,0.2325,13,0.0396,0.0392,1597.4,top_solver
bonus2,3,11,12,12,331,328,1.0,0.2245,29,0.0884,0.0876,1929.2,top_solver
bonus2,4,1,12,12,339,328,1.0,0.9769,9,0.0274,0.0265,1457.8,top_solver
bonus2,4,3,12,12,329,328,1.0,0.6195,60,0.1829,0.1824,3362.2,top_solver
bonus2,4,4,12,12,365,328,1.0,0.5919,70,0.2134,0.1918,2400.7,top_solver
bonus2,4,5,12,12,330,328,1.0,0.5733,67,0.2043,0.203,6345.1,top_solver
bonus2,4,6,12,12,379,328,1.0,0.5125,51,0.1555,0.1346,3223.1,top_solver
bonus2,4,7,12,12,330,328,1.0,0.5027,86,0.2622,0.2606,5037.4,top_solver
bonus2,4,8,12,12,366,328,1.0,0.2923,100,0.3049,0.2732,3206.0,top_solver
bonus2,4,9,12,12,329,328,1.0,0.2916,90,0.2744,0.2736,3022.7,top_solver
bonus2,5,0,12,12,339,328,1.0,0.9607,15,0.0457,0.0442,1643.3,top_solver
bonus2,5,1,12,12,339,328,1.0,0.9688,7,0.0213,0.0206,1119.4,top_solver
bonus2,5,3,12,12,361,328,1.0,0.6271,64,0.1951,0.1773,3232.8,top_solver
bonus2,5,4,12,12,328,328,1.0,0.6287,59,0.1799,0.1799,3141.0,top_solver
bonus2,5,5,12,12,351,328,1.0,0.5811,46,0.1402,0.1311,3247.1,top_solver
bonus2,5,6,12,12,329,328,1.0,0.5626,66,0.2012,0.2006,8757.0,top_solver
bonus2,5,7,12,12,334,328,1.0,0.5083,48,0.1463,0.1437,4920.9,top_solver
bonus2,5,8,12,12,330,328,1.0,0.426,85,0.2591,0.2576,4135.6,top_solver
bonus2,5,9,12,12,359,328,1.0,0.2993,83,0.253,0.2312,9468.7,top_solver
bonus2,6,0,12,12,339,328,1.0,0.9525,6,0.0183,0.0177,1372.8,top_solver
bonus2,6,2,12,12,329,328,1.0,0.7972,72,0.2195,0.2188,2399.4,top_solver
bonus2,6,3,12,12,360,328,1.0,0.7495,48,0.1463,0.1333,2191.4,top_solver
bonus2,6,4,12,12,333,328,1.0,0.723,83,0.253,0.2492,3779.7,top_solver
bonus2,6,5,12,12,338,328,1.0,0.6866,65,0.1982,0.1923,3778.2,top_solver
bonus2,6,6,12,12,333,328,1.0,0.6053,43,0.1311,0.1291,2939.6,top_solver
bonus2,6,7,12,12,329,328,1.0,0.5765,29,0.0884,0.0881,2902.4,top_solver
bonus2,6,8,12,12,328,328,1.0,0.4686,40,0.122,0.122,3350.3,top_solver
bonus2,6,9,12,12,330,328,1.0,0.3346,23,0.0701,0.0697,3416.6,top_solver
bonus2,6,10,12,12,335,328,1.0,0.3417,21,0.064,0.0627,2154.7,top_solver
bonus2,6,11,12,12,328,328,1.0,0.35,62,0.189,0.189,4217.2,top_solver
bonus2,7,0,12,12,347,328,1.0,0.9426,22,0.0671,0.0634,2092.1,top_solver
bonus2,7,1,12,12,373,328,1.0,0.9165,13,0.0396,0.0349,3009.5,top_solver
bonus2,7,2,12,12,424,328,1.0,0.7959,50,0.1524,0.1179,2467.3,top_solver
bonus2,7,3,12,12,332,328,1.0,0.7586,40,0.122,0.1205,3173.6,top_solver
bonus2,7,4,12,12,340,328,1.0,0.7369,59,0.1799,0.1735,3131.4,top_solver
bonus2,7,5,12,12,333,328,1.0,0.6835,59,0.1799,0.1772,3766.9,top_solver
bonus2,7,6,12,12,330,328,1.0,0.6454,26,0.0793,0.0788,4110.9,top_solver
bonus2,7,7,12,12,328,328,1.0,0.5889,49,0.1494,0.1494,3923.0,top_solver
bonus2,7,8,12,12,328,328,1.0,0.5197,50,0.1524,0.1524,6107.6,top_solver
bonus2,7,9,12,12,328,328,1.0,0.4462,48,0.1463,0.1463,3707.1,top_solver
bonus2,7,10,12,12,332,328,1.0,0.4315,22,0.0671,0.0663,2643.0,top_solver
bonus2,7,11,12,12,329,328,1.0,0.3579,27,0.0823,0.0821,3438.0,top_solver
bonus2,8,0,12,12,334,328,1.0,0.9102,25,0.0762,0.0749,2555.9,top_solver
bonus2,8,1,12,12,332,328,1.0,0.9071,40,0.122,0.1205,2766.7,top_solver
bonus2,8,2,12,12,365,328,1.0,0.8079,74,0.2256,0.2027,2985.3,top_solver
bonus2,8,3,12,12,350,328,1.0,0.7812,74,0.2256,0.2114,15751.1,top_solver
bonus2,8,4,12,12,333,328,1.0,0.7682,50,0.1524,0.1502,2839.9,top_solver
bonus2,8,5,12,12,356,328,1.0,0.6388,53,0.1616,0.1489,5630.1,top_solver
bonus2,8,6,12,12,329,328,1.0,0.626,34,0.1037,0.1033,3366.4,top_solver
bonus2,8,7,12,12,330,328,1.0,0.5843,24,0.0732,0.0727,2857.8,top_solver
bonus2,8,8,12,12,328,328,1.0,0.5184,29,0.0884,0.0884,3323.0,top_solver
bonus2,8,9,12,12,330,328,1.0,0.4562,15,0.0457,0.0455,3012.9,top_solver
bonus2,8,10,12,12,329,328,1.0,0.436,8,0.0244,0.0243,1501.5,top_solver
bonus2,8,11,12,12,328,328,1.0,0.3768,18,0.0549,0.0549,2069.2,top_solver
bonus2,9,0,12,12,329,328,1.0,0.9021,21,0.064,0.0638,3028.5,top_solver
